,village,year,household,pop_total,pop_M,pop_F
2296,陽明里,2021,1462,3059,1477,1582
2297,菁山里,2021,588,1591,869,722
2298,平等里,2021,547,1502,759,743
2299,溪山里,2021,593,1550,787,763
2300,翠山里,2021,1184,2654,1249,1405
2301,臨溪里,2021,1196,2912,1413,1499
2303,建民里,2021,1834,4389,2127,2262
2304,文林里,2021,1768,4337,2087,2250
2305,石牌里,2021,2102,5294,2486,2808
2306,福興里,2021,2769,7486,3552,3934
2307,榮光里,2021,2849,7980,3795,4185
2308,榮華里,2021,2938,7467,3499,3968
2309,裕民里,2021,3158,7873,3726,4147
2310,振華里,2021,2932,7763,3664,4099
2311,永和里,2021,3747,9454,4449,5005
2312,永欣里,2021,3607,8503,3913,4590
2313,永明里,2021,1904,5246,2447,2799
2314,東華里,2021,1694,4707,2239,2468
2315,吉利里,2021,2629,7431,3497,3934
2316,吉慶里,2021,1932,5455,2588,2867
2317,尊賢里,2021,1789,5026,2364,2662
2318,立賢里,2021,2091,5867,2808,3059
2319,立農里,2021,3493,9603,4582,5021
2320,八仙里,2021,2189,5518,2675,2843
2321,洲美里,2021,879,2441,1210,1231
2322,奇岩里,2021,4411,10940,5285,5655
2323,清江里,2021,4430,9581,4889,4692
2324,中央里,2021,3369,8443,4079,4364
2325,長安里,2021,2771,6308,2935,3373
2326,大同里,2021,2297,5656,2758,2898
2327,溫泉里,2021,2772,6600,3131,3469
2328,林泉里,2021,1449,3050,1507,1543
2329,中心里,2021,3101,6459,2956,3503
2330,中庸里,2021,1700,4169,2007,2162
2331,開明里,2021,2673,6692,3201,3491
2332,中和里,2021,1953,4955,2378,2577
2333,智仁里,2021,2291,6198,2956,3242
2334,秀山里,2021,1215,3251,1576,1675
2335,文化里,2021,1655,4248,2057,2191
2336,豐年里,2021,1693,4641,2245,2396
2337,稻香里,2021,2220,5426,2685,2741
2338,桃源里,2021,2334,6015,2954,3061
2339,一德里,2021,2849,7571,3690,3881
2340,關渡里,2021,4242,11570,5629,5941
2341,泉源里,2021,861,2377,1234,1143
2342,湖山里,2021,694,1621,850,771
2343,大屯里,2021,448,1292,678,614
2344,湖田里,2021,376,926,503,423
