關渡里,5
陽明里,5
隆和里,5
雅祥里,5
集英里,5
雙和里,5
雙園里,5
雙連里,5
青山里,5
頂東里,5
頂碩里,5
順興里,5
騰雲里,5
鴻福里,5
鵬程里,5
麗山里,5
黎元里,5
黎和里,5
黎孝里,5
黎安里,5
黎平里,5
黎忠里,5
黎明里,5
黎順里,5
龍光里,5
龍圖里,5
龍坡里,5
龍安里,5
龍泉里,5
龍洲里,5
龍淵里,5
龍生里,5
龍田里,5
龍福里,5
龍興里,5
龍門里,5
龍陣里,5
龍雲里,5
