id,time,city,address,filter,price,area,deposit,mgmt_fee,parking_space,min_lease,decor,register,g_location1,g_location2,g_address,lat,long,floor,bldg_floor,density_2021,ave_pop_growth,2019_income
11636452,21-Dec,NTPC,新北市永和區得和路188號,永和區永元里,42000,22,面議,500.0,,一年,中檔裝潢,已辦,"25.0000219,121.5200758","25°00'00.1""N 121°31'12.3""E",234新北市永和區得和路172-198,25.0000219,121.5200758,1F,7F,64776.77490447174,-0.9868175900385504,1536953.0
11459473,21-Dec,NTPC,新北市三重區正義北路221號,三重區三安里,55000,21,二個月,,,一年,簡易裝潢,已辦,"25.0688150,121.4960910","25°04'07.7""N 121°29'45.9""E",241新北市三重區正義北路219號,25.068815,121.496091,1F,3F,48561.6439941783,-0.3031749105625684,587370.0
11576172,21-Dec,NTPC,新北市三重區重新路四段9號,三重區過田里,55000,28,二個月,,,一年,簡易裝潢,已辦,"25.0583220,121.4888690","25°03'30.0""N 121°29'19.9""E",241新北市三重區重新路四段5號,25.058322,121.488869,1F,5F,65218.76578998123,0.4190143479140336,1884368.0
11509204,21-Dec,NTPC,新北市淡水區清水街9號,淡水區長庚里,65000,25,面議,,,一年,簡易裝潢,已辦,"25.1702616,121.4444375","25°10'12.9""N 121°26'40.0""E",251新北市淡水區清水街36-56,25.1702616,121.4444375,1F,5F,20453.826334583915,-1.253896200101782,403139.0
11643232,21-Dec,NTPC,新北市汐止區康寧街459巷,汐止區金龍里,220000,147,二個月,9447.0,平面式停車位，費用另計,一年,簡易裝潢,已辦,"25.0703359,121.6321001","25°04'13.2""N 121°37'55.6""E",221新北市汐止區湖前街62-1號,25.0703359,121.6321001,1F,19F,28700.43586884981,1.7294354208240066,1425322.0
11453386,21-Dec,NTPC,新北市新莊區頭前路,新莊區和平里,330000,174,二個月,23829.0,平面式停車位，已含租金內,1月,尚未裝潢,已辦,"25.0521905,121.4595916","25°03'07.9""N 121°27'34.5""E",242新北市新莊區新北市特一號道路407號,25.0521905,121.4595916,1F,19F,51053.55211191354,-0.800683717865199,1163992.0
11672264,21-Dec,NTPC,新北市新莊區幸福路,新莊區信義里,78600,20,二個月,,,兩年,簡易裝潢,已辦,"25.0502963,121.4580667","25°03'01.1""N 121°27'29.0""E",242新北市新莊區福壽街93號,25.0502963,121.4580667,1F,4F,47600.08403162613,-1.2823439200913,1305036.0
11508010,21-Dec,NTPC,新北市淡水區清水街5號,淡水區長庚里,65000,22,面議,,,兩年,簡易裝潢,已辦,"25.1703643,121.4449133","25°10'13.3""N 121°26'41.7""E",251新北市淡水區清水街18-36,25.1703643,121.4449133,1F,5F,20453.826334583915,-1.253896200101782,403139.0
11610236,21-Dec,NTPC,新北市中和區中正路741號,中和區平河里,39000,35,二個月,,,一年,中檔裝潢,已辦,"24.9970854,121.4850998","24°59'49.5""N 121°29'06.4""E",235新北市中和區中正路677號,24.9970854,121.4850998,1F,5F,23044.608457676182,-0.7147529494821707,2743197.0
11638673,21-Dec,NTPC,新北市新店區中正路,新店區仁愛里,120000,26,二個月,,,兩年,簡易裝潢,已辦,"24.972088,121.541291","24°58'19.5""N 121°32'28.7""E",231新北市新店區中正路170號,24.972088,121.541291,1F,4F,29518.059505890804,-1.009236582680876,648833.0
11656493,21-Dec,NTPC,新北市三重區忠孝路三段,三重區田中里,85000,80,二個月,,,一年,尚未裝潢,已辦,"25.0675315,121.4816514","25°04'03.1""N 121°28'54.0""E",241新北市三重區忠孝路三段,25.0675315,121.4816514,1F,5F,59049.29283163271,-0.3930734518273156,1575790.0
11617403,21-Dec,NTPC,新北市中和區景平路,中和區福善里,60000,26,二個月,,,一年,簡易裝潢,已辦,"25.0027270,121.4968380","25°00'09.8""N 121°29'48.6""E",235新北市中和區景平路712號,25.002727,121.496838,1F,4F,45342.506383747605,-0.7242294879422555,1169237.0
11746861,21-Dec,NTPC,新北市新店區二十張路1巷2弄4號,新店區大同里,138000,90,二個月,,,一年,簡易裝潢,已辦,"24.9823690,121.5402070","24°58'56.5""N 121°32'24.8""E",231新北市新店區二十張路1巷3弄,24.982369,121.540207,1F,6F,43450.14485641117,-1.690948445746369,1568303.0
11711233,21-Dec,NTPC,新北市永和區文化路90巷,永和區河堤里,31500,22,面議,,,一年,中檔裝潢,已辦,"25.0159760,121.5138855","25°00'57.5""N 121°30'50.0""E",234新北市永和區文化路90巷16號,25.015976,121.5138855,1F,5F,64230.545530938485,-0.0333886953361635,1405167.0
11645729,21-Dec,NTPC,新北市鶯歌區龍五路,鶯歌區鳳鳴里,80000,80,二個月,,,兩年,尚未裝潢,未辦,"24.9709249,121.331785","24°58'15.3""N 121°19'54.4""E",239新北市鶯歌區龍五路89號,24.9709249,121.331785,1F,1F,6298.055230207374,7.973902382514749,991876.0
11714837,21-Dec,NTPC,新北市新莊區中平路184巷,新莊區中平里,45000,14,二個月,,,一年,簡易裝潢,已辦,"25.0488373,121.4464844","25°02'55.8""N 121°26'47.3""E",242新北市新莊區幸福路,25.0488373,121.4464844,1F,14F,76837.52061437814,1.58107755139311,2857923.0
11710398,21-Dec,NTPC,新北市汐止區康寧街,汐止區北山里,45000,77,二個月,3860.0,,一年,簡易裝潢,已辦,"25.0673455,121.6266809","25°04'02.4""N 121°37'36.1""E",221新北市汐止區康寧街301號,25.0673455,121.6266809,1F,17F,14308.531519475917,1.5008234405540812,1669598.0
11561224,21-Dec,NTPC,新北市瑞芳區豎崎路,瑞芳區福住里,40000,18,二個月,,,一年,簡易裝潢,已辦,"25.1077813,121.8436607","25°06'28.0""N 121°50'37.2""E",224新北市瑞芳區豎崎路7-5,25.1077813,121.8436607,1F,2F,660.7158195188667,-2.0284026648798763,33650.0
11690514,21-Dec,NTPC,新北市新莊區五權一路12巷9弄5號,新莊區福興里,35000,21,二個月,80.0,平面式停車位，已含租金內,兩年,尚未裝潢,已辦,"25.0640521,121.4566949","25°03'50.6""N 121°27'24.1""E",242新北市新莊區五工路99-1號,25.0640521,121.4566949,1F,14F,17226.178554466227,0.1267952965561776,1569152.0
11711057,21-Dec,NTPC,新北市蘆洲區長安街343號,蘆洲區成功里,60000,34,面議,,,一年,簡易裝潢,已辦,"25.0869449,121.4572160","25°05'13.0""N 121°27'26.0""E",247新北市蘆洲區長安街345號,25.0869449,121.457216,1F,1F,55746.043691834086,-0.1451825214095,1710980.0
11657340,21-Dec,NTPC,新北市中和區興南路二段22號,中和區內南里,50000,39,二個月,2342.0,,一年,簡易裝潢,已辦,"24.9822310,121.5031180","24°58'56.0""N 121°30'11.2""E",235新北市中和區興南路二段244號,24.982231,121.503118,1F,13F,3877.7546612229658,-1.4744325337005648,1095138.0
11672302,21-Dec,NTPC,新北市林口區忠福路,林口區南勢里,50000,60,二個月,5000.0,平面式停車位，費用另計,一年,尚未裝潢,未辦,"25.0770807,121.3595045","25°04'37.5""N 121°21'34.2""E",244新北市林口區,25.0770807,121.3595045,1F,7F,6952.096520265434,10.359882106826465,10578817.0
11756480,21-Dec,NTPC,新北市新莊區中正路,新莊區忠孝里,100000,144,二個月,,,一年,尚未裝潢,已辦,"25.0353452,121.4450683","25°02'07.2""N 121°26'42.3""E",242新北市新莊區中正路340巷1~43號,25.0353452,121.4450683,整棟,4F,32078.980225851283,2.766086994316552,1300980.0
11593594,21-Dec,NTPC,新北市林口區忠孝路75號,林口區仁愛里,80000,43,二個月,5042.0,平面式停車位，已含租金內,一年,簡易裝潢,已辦,"25.0718465,121.3709402","25°04'18.7""N 121°22'15.4""E",244新北市林口區公園路,25.0718465,121.3709402,1F,23F,24629.3023495053,0.223072698639933,2940345.0
11710480,21-Dec,NTPC,新北市三重區中正北路,三重區中山里,82000,80,二個月,,平面式停車位，已含租金內,兩年,高檔裝潢,已辦,"25.0621055,121.4899005","25°03'43.6""N 121°29'23.6""E",241新北市三重區新北大道一段,25.0621055,121.4899005,1F,7F,18340.86359000946,-1.0812479519136295,873255.0
