area,brand,name,addr,filter,long,lat,density_2021,ave_pop_growth,2019_income,village_rent,rating,comment
TPE,cama,台北南港店,台北市南港區南港路一段153號,南港區南港里,121.613604,25.055077,16544.553038536433,0.6917206349828546,2200618.0,2609.0,4.8,4.0
TPE,cama,南港站前店,台北市南港區南港路二段6號,南港區東明里,121.605988,25.054352,18109.99350355522,5.35298623821879,2265416.0,1120.0,3.5,270.0
TPE,cama,南港環球店,台北市南港區忠孝東路七段371號B1,南港區中南里,121.607496,25.052571,2156.3364620975462,-2.364998031582788,992878.0,1603.0,3.8,11.0
TPE,cama,天母蘭雅店,台北市士林區中山北路六段126號,士林區忠誠里,121.525004,25.105765,38135.70362658196,-1.3948491409948507,2854745.0,5384.0,4.5,4.0
TPE,cama,天母芝山店,台北市士林區福華路122號,士林區德行里,121.522936,25.102609,23086.27482705442,-0.4740871615553328,1879543.0,2751.0,4.9,40.0
TPE,cama,台北承德店,台北市大同區承德路一段30號,大同區建明里,121.516749,25.050647,21679.756337171104,-2.6617841592189606,1336075.0,2040.0,4.3,111.0
TPE,cama,台北大安店,台北市大安區大安路一段170-3,大安區仁慈里,121.5459544,25.03674512,47650.26670549039,-0.1075774855597029,3559340.0,1825.0,4.0,121.0
TPE,cama,大安信義店,台北市大安區信義路三段174號,大安區龍圖里,121.542124,25.033155,31034.078878504435,-1.1456625282339448,4097363.0,2502.0,4.3,215.0
TPE,cama,森林公園店,台北市大安區信義路三段25號,大安區民炤里,121.534294,25.033773,32107.397188630363,-0.26806778685969,5999670.0,1822.0,4.4,123.0
TPE,cama,台北國泰店,台北市大安區仁愛路四段300巷13號,大安區光信里,121.554514,25.036863,57255.34162721282,-1.347133175535845,4260737.0,2077.0,4.1,34.0
TPE,cama,台北和平店,台北市大安區和平東路三段6號,大安區虎嘯里,121.546876,25.024512,26169.627795738656,-1.6230082674922208,2281243.0,2872.0,4.1,175.0
TPE,cama,台北古亭店,台北市大安區羅斯福路二段81號之2,大安區古莊里,121.523644,25.025773,34230.50324792905,0.8295320928445982,3769138.0,3146.0,4.1,151.0
