年,月,排名,隸屬區,里,鄰數,戶數,男,女,合計
109,12,1,林口區,湖南里,48,11469,12821,14027,26848
109,12,2,林口區,南勢里,40,11710,12256,13636,25892
109,12,3,淡水區,崁頂里,15,10258,9778,10555,20333
109,12,4,三峽區,龍學里,45,7131,7894,9104,16998
109,12,5,樹林區,南園里,52,6693,7828,8432,16260
109,12,6,蘆洲區,正義里　,25,5672,7329,8009,15338
109,12,7,板橋區,溪福里,46,5212,7362,7628,14990
109,12,8,新店區,公崙里,37,5489,6620,7107,13727
109,12,9,新莊區,中原里,33,5456,6378,6886,13264
109,12,10,新莊區,西盛里,29,5034,6457,6661,13118
109,12,11,新莊區,立廷里,40,4987,6048,6769,12817
109,12,12,新莊區,雙鳳里,36,4734,6079,6248,12327
109,12,13,林口區,西林里,37,4590,5764,5808,11572
109,12,14,淡水區,北投里,22,5034,5435,6073,11508
109,12,15,新店區,香坡里,46,5040,5565,5830,11395
109,12,16,淡水區,竿蓁里,26,5974,5174,6173,11347
109,12,17,五股區,成泰里,34,4984,5622,5605,11227
109,12,18,板橋區,忠翠里,28,4551,5158,5913,11071
109,12,19,永和區,保順里,38,4553,5079,5872,10951
109,12,20,蘆洲區,水湳里　,25,3898,5360,5555,10915
109,12,21,新莊區,龍鳳里,30,4268,5061,5732,10793
109,12,22,三峽區,鳶山里,28,3990,5268,5390,10658
109,12,23,三峽區,龍埔里,36,3961,5181,5325,10506
109,12,24,板橋區,崑崙里,36,3785,5080,5275,10355
109,12,25,樹林區,柑園里,37,4211,4946,5310,10256
109,12,26,淡水區,大庄里,12,5059,4672,5415,10087
109,12,27,泰山區,全興里,25,3837,4864,5083,9947
109,12,28,蘆洲區,水河里　,18,3495,4873,5047,9920
109,12,29,三重區,過田里,28,5504,5469,4440,9909
109,12,30,新莊區,中平里,23,3683,4542,5305,9847
109,12,31,林口區,麗林里,32,3819,4667,5157,9824
109,12,32,板橋區,社後里,28,5520,5547,4268,9815
109,12,33,新莊區,頭前里,16,4332,4764,4992,9756
109,12,34,淡水區,新春里,15,3894,4617,5011,9628
109,12,35,新店區,柴埕里,34,3772,4617,4888,9505
109,12,36,板橋區,深丘里,32,3750,4533,4887,9420
