年,月,排名,隸屬區,里,鄰數,戶數,男,女,合計
107,12,1,林口區,湖南里,48,10059,11081,12196,23277
107,12,2,林口區,南勢里,40,9499,9783,10905,20688
107,12,3,三峽區,龍學里,45,6918,7598,8832,16430
107,12,4,樹林區,南園里,52,6568,7571,8205,15776
107,12,5,淡水區,崁頂里,15,7868,7504,8134,15638
107,12,6,板橋區,溪福里,46,5174,7412,7615,15027
107,12,7,蘆洲區,正義里　,25,5337,6952,7580,14532
107,12,8,新店區,公崙里,37,5000,6141,6542,12683
107,12,9,新莊區,西盛里,29,4672,6092,6261,12353
107,12,10,新莊區,立廷里,40,4707,5700,6333,12033
107,12,11,新莊區,雙鳳里,36,4507,5828,6026,11854
107,12,12,新莊區,中原里,33,4569,5547,5950,11497
107,12,13,板橋區,忠翠里,28,4463,5189,5821,11010
107,12,14,新店區,香坡里,46,4766,5316,5651,10967
107,12,15,淡水區,北投里,22,4759,5193,5764,10957
107,12,16,蘆洲區,水湳里　,25,3824,5373,5553,10926
107,12,17,淡水區,竿蓁里,26,5498,4924,5773,10697
107,12,18,三峽區,鳶山里,28,3910,5304,5382,10686
107,12,19,永和區,保順里,38,4407,4944,5697,10641
107,12,20,林口區,西林里,37,4197,5275,5329,10604
107,12,21,板橋區,崑崙里,36,3746,5107,5331,10438
107,12,22,三峽區,龍埔里,36,3742,4988,5141,10129
107,12,23,新莊區,龍鳳里,30,3851,4697,5315,10012
107,12,24,樹林區,柑園里,37,4121,4824,5188,10012
107,12,25,泰山區,全興里,25,3819,4827,5078,9905
107,12,26,蘆洲區,水河里　,18,3442,4880,5000,9880
107,12,27,林口區,麗林里,32,3799,4656,5187,9843
107,12,28,三重區,過田里,28,5206,5336,4363,9699
107,12,29,中和區,平河里,67,3819,4577,4923,9500
107,12,30,新莊區,中平里,23,3493,4402,5069,9471
107,12,31,新店區,柴埕里,34,3665,4529,4841,9370
107,12,32,板橋區,社後里,28,5140,5253,4097,9350
107,12,33,新莊區,中信里,34,3174,4515,4799,9314
107,12,34,板橋區,深丘里,32,3719,4478,4835,9313
107,12,35,新莊區,丹鳳里,28,3516,4478,4719,9197
107,12,36,新店區,張北里,32,4057,4358,4810,9168
107,12,37,淡水區,新春里,15,3651,4363,4717,9080
107,12,38,鶯歌區,永昌里,22,2883,4518,4561,9079
107,12,39,五股區,成泰里,34,3954,4597,4471,9068
