年,月,排名,隸屬區,里,鄰數,戶數,男,女,合計
108,12,1,林口區,湖南里,48,10714,11886,13015,24901
108,12,2,林口區,南勢里,40,10499,10919,12192,23111
108,12,3,淡水區,崁頂里,15,9101,8653,9377,18030
108,12,4,三峽區,龍學里,45,7041,7754,8975,16729
108,12,5,樹林區,南園里,52,6636,7703,8292,15995
108,12,6,蘆洲區,正義里　,25,5516,7175,7835,15010
108,12,7,板橋區,溪福里,46,5200,7378,7616,14994
108,12,8,新店區,公崙里,37,5286,6407,6831,13238
108,12,9,新莊區,西盛里,29,4855,6278,6468,12746
108,12,10,新莊區,立廷里,40,4838,5857,6550,12407
108,12,11,新莊區,中原里,33,4987,5947,6412,12359
108,12,12,新莊區,雙鳳里,36,4618,5930,6136,12066
108,12,13,林口區,西林里,37,4435,5655,5662,11317
108,12,14,新店區,香坡里,46,4934,5461,5795,11256
108,12,15,淡水區,竿蓁里,26,5819,5146,6070,11216
108,12,16,板橋區,忠翠里,28,4535,5176,5943,11119
108,12,17,淡水區,北投里,22,4851,5265,5850,11115
108,12,18,蘆洲區,水湳里　,25,3844,5345,5568,10913
108,12,19,永和區,保順里,38,4438,4985,5750,10735
108,12,20,三峽區,鳶山里,28,3945,5268,5410,10678
108,12,21,新莊區,龍鳳里,30,4017,4881,5537,10418
108,12,22,板橋區,崑崙里,36,3756,5062,5287,10349
108,12,23,五股區,成泰里,34,4590,5206,5120,10326
108,12,24,三峽區,龍埔里,36,3858,5091,5221,10312
108,12,25,樹林區,柑園里,37,4167,4886,5237,10123
108,12,26,泰山區,全興里,25,3813,4817,5065,9882
108,12,27,蘆洲區,水河里　,18,3460,4832,5027,9859
108,12,28,三重區,過田里,28,5380,5417,4426,9843
108,12,29,林口區,麗林里,32,3809,4652,5172,9824
108,12,30,新莊區,中平里,23,3526,4408,5156,9564
108,12,31,新店區,柴埕里,34,3735,4599,4901,9500
108,12,32,板橋區,社後里,28,5239,5297,4104,9401
108,12,33,板橋區,深丘里,32,3717,4529,4860,9389
108,12,34,新莊區,丹鳳里,28,3569,4564,4817,9381
108,12,35,中和區,平河里,67,3818,4521,4848,9369
108,12,36,新莊區,中信里,34,3191,4510,4775,9285
108,12,37,淡水區,新春里,15,3718,4467,4813,9280
108,12,38,新店區,張北里,32,4127,4396,4867,9263
108,12,39,新莊區,頭前里,16,4007,4486,4710,9196
108,12,40,淡水區,大庄里,12,4555,4264,4926,9190
108,12,41,泰山區,義仁里,39,3302,4504,4601,9105
108,12,42,鶯歌區,永昌里,22,2896,4486,4558,9044
108,12,43,板橋區,重慶里,38,3272,4343,4580,8923
108,12,44,土城區,埤林里,38,3195,4276,4591,8867
108,12,45,三重區,溪美里,31,3540,4217,4523,8740
108,12,46,土城區,永寧里,37,3209,4357,4375,8732
108,12,47,鶯歌區,二橋里,26,3054,4442,4252,8694
108,12,48,鶯歌區,尖山里,16,3194,4342,4319,8661
108,12,49,板橋區,海山里,23,2858,4030,4470,8500
108,12,50,中和區,積穗里,45,3458,4099,4368,8467
108,12,51,三重區,碧華里,16,3755,4041,4421,8462
108,12,52,中和區,新南里,49,3594,3896,4538,8434
108,12,53,土城區,清水里,32,2977,4102,4300,8402
108,12,54,汐止區,忠孝里,38,3825,4028,4340,8368
108,12,55,板橋區,新翠里,29,3230,3932,4294,8226
108,12,56,五股區,水碓里,36,2969,4063,4109,8172
108,12,57,新店區,安和里,28,3277,3949,4163,8112
108,12,58,蘆洲區,成功里　,29,2655,3861,4172,8033
108,12,59,板橋區,華江里,30,3271,3698,4326,8024
108,12,60,三峽區,永舘里,25,2855,3800,4150,7950
108,12,61,板橋區,華東里,32,3441,3808,4091,7899
108,12,62,三峽區,安溪里,38,2822,3878,4004,7882
108,12,63,三重區,光明里,30,3075,3831,4032,7863
108,12,64,淡水區,新興里,8,3328,3626,4235,7861
108,12,65,新店區,五峯里,25,3425,3650,4209,7859
108,12,66,新莊區,光華里,28,2714,3856,3985,7841
108,12,67,汐止區,中興里,32,3634,3807,4032,7839
108,12,68,新莊區,昌平里,21,3565,3637,4172,7809
108,12,69,土城區,峯廷里,31,2667,3835,3890,7725
108,12,70,汐止區,厚德里,30,3103,3788,3858,7646
108,12,71,三峽區,龍恩里,31,3223,3647,3996,7643
108,12,72,板橋區,德翠里,26,2757,3726,3900,7626
108,12,73,八里區,舊城里,22,2936,3727,3871,7598
108,12,74,中和區,華新里,48,2896,3641,3940,7581
108,12,75,中和區,外南里,31,4266,4204,3357,7561
108,12,76,鶯歌區,建國里,34,2676,3630,3888,7518
108,12,77,永和區,保安里,34,2972,3545,3955,7500
108,12,78,林口區,仁愛里,30,2931,3585,3911,7496
108,12,79,八里區,龍源里,30,3242,3620,3848,7468
108,12,80,板橋區,華德里,32,3031,3547,3891,7438
108,12,81,新店區,寶福里,29,3217,3594,3823,7417
108,12,82,新莊區,裕民里,32,2658,3657,3752,7409
108,12,83,淡水區,民生里,32,3513,3339,4058,7397
108,12,84,汐止區,復興里,24,3329,3366,3934,7300
108,12,85,新莊區,後港里,31,2571,3550,3737,7287
108,12,86,板橋區,福安里,25,3288,3453,3819,7272
108,12,87,板橋區,成和里,24,2772,3557,3700,7257
108,12,88,中和區,中興里,38,2830,3476,3765,7241
108,12,89,土城區,平和里,34,2456,3544,3679,7223
108,12,90,蘆洲區,永康里　,22,2462,3467,3726,7193
108,12,91,泰山區,山腳里,45,2541,3614,3565,7179
108,12,92,中和區,員山里,42,2863,3479,3692,7171
108,12,93,三芝區,埔坪里,35,2907,3578,3566,7144
108,12,94,土城區,清溪里,53,2695,3513,3624,7137
108,12,95,林口區,東勢里,42,2591,3466,3650,7116
108,12,96,三峽區,介壽里,28,2715,3643,3471,7114
108,12,97,板橋區,廣德里,25,2634,3452,3653,7105
108,12,98,淡水區,福德里,19,3456,3393,3704,7097
108,12,99,板橋區,中山里,32,3047,3411,3607,7018
108,12,100,新莊區,建安里,34,2551,3336,3590,6926
108,12,101,五股區,成功里,34,2796,3447,3454,6901
108,12,102,汐止區,福安里,16,2692,3311,3578,6889
108,12,103,中和區,德行里,42,2847,3308,3577,6885
108,12,104,土城區,延和里,32,2590,3299,3576,6875
108,12,105,三重區,富貴里,32,2914,3269,3554,6823
108,12,106,新莊區,中港里,28,2242,3320,3482,6802
108,12,107,土城區,員林里,34,2745,3249,3540,6789
108,12,108,蘆洲區,永樂里　,27,2242,3341,3352,6693
108,12,109,中和區,連城里,48,2625,3168,3508,6676
108,12,110,蘆洲區,樓厝里　,24,2455,3223,3427,6650
108,12,111,三重區,田中里,30,2375,3225,3412,6637
108,12,112,新店區,信義里,31,3206,3149,3477,6626
108,12,113,樹林區,保安里,34,2361,3294,3315,6609
108,12,114,中和區,中原里,24,2936,3223,3380,6603
108,12,115,三重區,成功里,21,2790,3133,3441,6574
108,12,116,汐止區,湖興里,38,3009,3230,3336,6566
108,12,117,深坑區,埔新里,57,2634,3156,3373,6529
108,12,118,蘆洲區,恆德里　,21,2580,3113,3379,6492
108,12,119,中和區,秀景里,43,2883,3156,3336,6492
108,12,120,三重區,田安里,42,2431,3124,3357,6481
108,12,121,土城區,清和里,28,2247,3229,3244,6473
108,12,122,三重區,光陽里,33,2629,3195,3258,6453
