年,月,排名,隸屬區,里,鄰數,戶數,男,女,合計
106,12,1,林口區,湖南里,43,9410,10312,11363,21675
106,12,2,林口區,南勢里,40,8502,8898,9729,18627
106,12,3,三峽區,龍學里,45,6775,7401,8540,15941
106,12,4,樹林區,南園里,52,6487,7364,8089,15453
106,12,5,板橋區,溪福里,46,5163,7489,7690,15179
106,12,6,蘆洲區,正義里,25,5116,6747,7367,14114
106,12,7,淡水區,崁頂里,15,6713,6408,6874,13282
106,12,8,新店區,公崙里,37,4765,5933,6315,12248
106,12,9,新莊區,西盛里,29,4427,5922,6071,11993
106,12,10,新莊區,立廷里,40,4675,5649,6275,11924
106,12,11,新莊區,雙鳳里,36,4378,5750,5875,11625
106,12,12,蘆洲區,水湳里,25,3853,5427,5633,11060
106,12,13,板橋區,忠翠里,28,4434,5189,5814,11003
106,12,14,新莊區,中原里,33,4192,5297,5686,10983
106,12,15,淡水區,北投里,22,4676,5108,5661,10769
106,12,16,新店區,香坡里,46,4667,5201,5506,10707
106,12,17,永和區,保順里,38,4365,4981,5720,10701
106,12,18,三峽區,鳶山里,28,3895,5328,5349,10677
106,12,19,淡水區,竿蓁里,26,5414,4869,5721,10590
106,12,20,板橋區,崑崙里,36,3720,5133,5359,10492
106,12,21,林口區,西林里,35,4000,5027,5098,10125
106,12,22,三峽區,龍埔里,36,3686,4911,5025,9936
106,12,23,泰山區,全興里,25,3804,4799,5069,9868
106,12,24,林口區,麗林里,32,3762,4648,5162,9810
106,12,25,蘆洲區,水河里,18,3353,4806,4963,9769
106,12,26,樹林區,柑園里,37,4048,4712,5048,9760
106,12,27,三重區,過田里,28,5163,5326,4342,9668
106,12,28,新莊區,龍鳳里,30,3617,4538,5059,9597
106,12,29,中和區,平河里,67,3812,4625,4944,9569
106,12,30,新莊區,中平里,23,3466,4408,5115,9523
106,12,31,新店區,柴埕里,34,3637,4550,4843,9393
106,12,32,板橋區,深丘里,32,3735,4521,4850,9371
106,12,33,新莊區,中信里,34,3153,4526,4798,9324
106,12,34,鶯歌區,永昌里,22,2904,4606,4674,9280
106,12,35,板橋區,社後里,28,4877,5074,4040,9114
106,12,36,板橋區,重慶里,38,3282,4444,4656,9100
106,12,37,新莊區,丹鳳里,28,3428,4430,4657,9087
106,12,38,泰山區,義仁里,39,3253,4468,4485,8953
106,12,39,土城區,埤林里,38,3151,4324,4612,8936
106,12,40,新店區,張北里,32,3900,4233,4686,8919
106,12,41,淡水區,新春里,15,3578,4258,4609,8867
106,12,42,土城區,永寧里,37,3201,4373,4369,8742
106,12,43,中和區,積穗里,45,3466,4123,4424,8547
106,12,44,板橋區,海山里,23,2857,4071,4463,8534
106,12,45,中和區,新南里,49,3563,3944,4556,8500
106,12,46,土城區,清水里,32,2938,4130,4368,8498
106,12,47,鶯歌區,二橋里,26,2907,4320,4175,8495
106,12,48,新莊區,頭前里,16,3684,4123,4353,8476
106,12,49,三重區,溪美里,22,3331,4102,4343,8445
106,12,50,五股區,水碓里,36,2898,4076,4098,8174
106,12,51,汐止區,忠孝里,38,3637,3933,4206,8139
106,12,52,板橋區,新翠里,29,3086,3915,4210,8125
106,12,53,五股區,成泰里,34,3398,4113,3950,8063
106,12,54,三峽區,安溪里,38,2810,3972,4048,8020
106,12,55,新莊區,光華里,28,2729,3925,4079,8004
106,12,56,蘆洲區,成功里,29,2619,3856,4143,7999
106,12,57,三峽區,永舘里,25,2795,3788,4121,7909
106,12,58,三重區,光明里,30,3060,3845,4047,7892
106,12,59,土城區,峯廷里,31,2660,3928,3950,7878
106,12,60,三重區,碧華里,16,3524,3761,4082,7843
106,12,61,新店區,安和里,28,3083,3798,4023,7821
106,12,62,鶯歌區,尖山里,16,2684,3921,3891,7812
106,12,63,板橋區,華江里,30,3197,3625,4184,7809
106,12,64,汐止區,厚德里,30,3060,3763,3867,7630
106,12,65,板橋區,德翠里,26,2715,3721,3899,7620
106,12,66,淡水區,新興里,8,3234,3547,4059,7606
106,12,67,永和區,保安里,34,2978,3600,3998,7598
106,12,68,中和區,華新里,48,2876,3642,3949,7591
106,12,69,八里區,舊城里,22,2834,3696,3877,7573
106,12,70,汐止區,中興里,32,3465,3689,3881,7570
106,12,71,新莊區,裕民里,32,2653,3744,3804,7548
106,12,72,板橋區,華東里,32,3207,3646,3871,7517
106,12,73,新店區,五峯里,25,3187,3511,4006,7517
106,12,74,中和區,外南里,31,4122,4188,3293,7481
106,12,75,林口區,仁愛里,30,2833,3521,3929,7450
106,12,76,新店區,寶福里,29,3213,3605,3840,7445
106,12,77,八里區,龍源里,30,3194,3589,3811,7400
106,12,78,板橋區,華德里,32,2961,3564,3831,7395
106,12,79,淡水區,大庄里,12,3579,3447,3933,7380
106,12,80,蘆洲區,永康里,22,2464,3530,3847,7377
106,12,81,新莊區,後港里,31,2549,3571,3780,7351
106,12,82,土城區,平和里,34,2459,3619,3714,7333
106,12,83,鶯歌區,建國里,34,2500,3571,3753,7324
106,12,84,三芝區,埔坪里,35,2895,3674,3630,7304
106,12,85,汐止區,復興里,24,3314,3362,3925,7287
106,12,86,淡水區,民生里,32,3432,3319,3968,7287
106,12,87,土城區,清溪里,53,2747,3582,3662,7244
106,12,88,中和區,中興里,38,2791,3451,3703,7154
106,12,89,泰山區,山腳里,45,2476,3605,3541,7146
106,12,90,板橋區,廣德里,25,2619,3446,3646,7092
106,12,91,三峽區,介壽里,28,2603,3569,3470,7039
106,12,92,新莊區,建安里,34,2510,3359,3601,6960
106,12,93,板橋區,成和里,22,2541,3424,3524,6948
106,12,94,中和區,員山里,42,2779,3377,3562,6939
106,12,95,中和區,德行里,42,2829,3337,3590,6927
106,12,96,淡水區,福德里,20,3393,3317,3598,6915
106,12,97,三峽區,龍恩里,31,2877,3313,3592,6905
106,12,98,新莊區,中港里,28,2204,3287,3525,6812
106,12,99,土城區,延和里,32,2485,3242,3569,6811
106,12,100,樹林區,保安里,34,2393,3384,3367,6751
106,12,101,新莊區,昌平里,21,3105,3162,3581,6743
106,12,102,蘆洲區,永樂里,27,2227,3362,3358,6720
106,12,103,三重區,田中里,30,2337,3289,3411,6700
106,12,104,中和區,連城里,48,2612,3187,3496,6683
106,12,105,新店區,新安里,25,3789,3468,3174,6642
106,12,106,蘆洲區,樓厝里,24,2449,3225,3400,6625
106,12,107,三重區,成功里,21,2769,3134,3446,6580
106,12,108,新店區,中正里,24,2694,3047,3530,6577
106,12,109,土城區,清和里,28,2251,3299,3256,6555
106,12,110,新店區,德安里,28,2310,3264,3276,6540
106,12,111,三重區,光陽里,33,2605,3219,3300,6519
106,12,112,三重區,富貴里,32,2780,3082,3435,6517
106,12,113,林口區,東勢里,39,2320,3167,3349,6516
106,12,114,中和區,秀景里,43,2870,3177,3332,6509
106,12,115,三重區,田安里,42,2428,3129,3376,6505
106,12,116,新莊區,立基里,32,2332,3125,3351,6476
106,12,117,深坑區,埔新里,57,2620,3133,3336,6469
106,12,118,板橋區,埔墘里,23,2573,3078,3383,6461
